exp,graph_family,n,p,seed,algo,layers,width,bipartite_n,m,repeats,runtime_ns_median,runtime_ns_mean,runtime_ns_std,flow_value,cut_capacity,matching_size,edge_scans,bfs_edge_scans,dfs_edge_scans,bfs_count,augment_count,phase_count,dfs_calls,runtime_sec_median,runtime_sec_mean,runtime_sec_std
standard,bipartite,502,0.08,4,edmonds_karp,,,250.0,5462,15,51803333.0,55280163.93333333,9540480.87216145,250.0,250.0,250.0,839061,839061,0,251,250,0,0,0.051803333,0.05528016393333333,0.00954048087216145
standard,bipartite,502,0.08,5,dinic,,,250.0,5471,15,3696084.0,3721091.6,92625.50469714051,250.0,250.0,250.0,37354,22134,15220,3,0,3,3871,0.003696084,0.0037210916,9.262550469714051e-05
standard,bipartite,502,0.08,5,edmonds_karp,,,250.0,5471,15,50902042.0,61480413.8,39343097.96685111,250.0,250.0,250.0,825791,825791,0,251,250,0,0,0.050902042,0.061480413799999994,0.03934309796685111
standard,bipartite,502,0.08,6,dinic,,,250.0,5503,15,4356500.0,4356405.6,24107.057845606778,250.0,250.0,250.0,49041,33268,15773,4,0,4,3843,0.0043565,0.0043564056,2.4107057845606778e-05
standard,bipartite,502,0.08,6,edmonds_karp,,,250.0,5503,15,49054333.0,48761269.333333336,896321.686807547,250.0,250.0,250.0,832112,832112,0,251,250,0,0,0.049054333,0.048761269333333336,0.000896321686807547
standard,bipartite,502,0.08,7,dinic,,,250.0,5448,15,4542833.0,4713136.066666666,321648.21980464197,250.0,250.0,250.0,49176,32938,16238,4,0,4,3796,0.004542833,0.004713136066666667,0.00032164821980464194
standard,bipartite,502,0.08,7,edmonds_karp,,,250.0,5448,15,50715125.0,60473091.53333333,31163764.4695913,250.0,250.0,250.0,832678,832678,0,251,250,0,0,0.050715125,0.06047309153333333,0.0311637644695913
standard,bipartite,502,0.08,8,dinic,,,250.0,5492,15,3508375.0,3521255.4,42311.22264972125,250.0,250.0,250.0,35546,22218,13328,3,0,3,3602,0.003508375,0.0035212553999999997,4.2311222649721246e-05
standard,bipartite,502,0.08,8,edmonds_karp,,,250.0,5492,15,50264250.0,58859858.333333336,33385675.614028346,250.0,250.0,250.0,826335,826335,0,251,250,0,0,0.05026425,0.058859858333333334,0.033385675614028346
standard,bipartite,502,0.08,9,dinic,,,250.0,5519,15,3527625.0,3555816.6666666665,114226.28031778902,250.0,250.0,250.0,36005,22326,13679,3,0,3,3606,0.003527625,0.0035558166666666666,0.00011422628031778901
standard,bipartite,502,0.08,9,edmonds_karp,,,250.0,5519,15,47519791.0,47586294.333333336,806149.2946897666,250.0,250.0,250.0,807213,807213,0,251,250,0,0,0.047519791,0.047586294333333334,0.0008061492946897665
